clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path,transcript,n_keyframes,visual_ok,has_audio,has_text,has_visual,transcript,n_keyframes,visual_ok,has_audio,has_text,has_visual
-Alixo7euuU_001,mosei_real,0,mosei_-Alixo7euuU_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_001.mp4,data\preprocessed\features\z_at\-Alixo7euuU_001.pt,data\preprocessed\features\z_v\-Alixo7euuU_001.pt,It will be coming out for the PS4 and Xbox One. It's going to be released this fall sometime and let's talk about the details it got revealed.,8,1,1,1,1,It will be coming out for the PS4 and Xbox One. It's going to be released this fall sometime and let's talk about the details it got revealed.,8,1,1,1,1
-Alixo7euuU_003,mosei_real,0,mosei_-Alixo7euuU_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_003.mp4,data\preprocessed\features\z_at\-Alixo7euuU_003.pt,data\preprocessed\features\z_v\-Alixo7euuU_003.pt,I think they can just do that using the stems that they get for each song.,8,1,1,1,1,I think they can just do that using the stems that they get for each song.,8,1,1,1,1
-Alixo7euuU_005,mosei_real,0,mosei_-Alixo7euuU_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_005.mp4,data\preprocessed\features\z_at\-Alixo7euuU_005.pt,data\preprocessed\features\z_v\-Alixo7euuU_005.pt,The other thing that seemed to come up to is that Activision hasn't really said whether your old DLC will work and whether your old instruments work with work will work.,8,1,1,1,1,The other thing that seemed to come up to is that Activision hasn't really said whether your old DLC will work and whether your old instruments work with work will work.,8,1,1,1,1
-Alixo7euuU_009,mosei_real,0,mosei_-Alixo7euuU_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_009.mp4,data\preprocessed\features\z_at\-Alixo7euuU_009.pt,data\preprocessed\features\z_v\-Alixo7euuU_009.pt,This is a feature we saw in Rock Band 1 and 2 where the crowd was sing along with you if you're like playing really well.,8,1,1,1,1,This is a feature we saw in Rock Band 1 and 2 where the crowd was sing along with you if you're like playing really well.,8,1,1,1,1
-Alixo7euuU_012,mosei_real,0,mosei_-Alixo7euuU_012,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_012.mp4,data\preprocessed\features\z_at\-Alixo7euuU_012.pt,data\preprocessed\features\z_v\-Alixo7euuU_012.pt,And now you can also follow me on Facebook and Twitter. You can just click the description and see all the information down below.,8,1,1,1,1,And now you can also follow me on Facebook and Twitter. You can just click the description and see all the information down below.,8,1,1,1,1
-Alixo7euuU_013,mosei_real,0,mosei_-Alixo7euuU_013,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_013.mp4,data\preprocessed\features\z_at\-Alixo7euuU_013.pt,data\preprocessed\features\z_v\-Alixo7euuU_013.pt,and they're going to use different combinations to basically show the actual notes for each songs chart.,8,1,1,1,1,and they're going to use different combinations to basically show the actual notes for each songs chart.,8,1,1,1,1
-Eqdz5y4pEY_000,mosei_real,0,mosei_-Eqdz5y4pEY_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Eqdz5y4pEY_000.mp4,data\preprocessed\features\z_at\-Eqdz5y4pEY_000.pt,data\preprocessed\features\z_v\-Eqdz5y4pEY_000.pt,"So it's really, we have a hard time sending a message on the brand because people have strong perceptions either way about the brand.",8,1,1,1,1,"So it's really, we have a hard time sending a message on the brand because people have strong perceptions either way about the brand.",8,1,1,1,1
-HwX2H8Z4hY_000,mosei_real,0,mosei_-HwX2H8Z4hY_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_000.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_000.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_000.pt,Teachers unions are among the fiercest-,8,1,1,1,1,Teachers unions are among the fiercest-,8,1,1,1,1
-HwX2H8Z4hY_002,mosei_real,0,mosei_-HwX2H8Z4hY_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_002.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_002.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_002.pt,from unionized district schools. What is the problem?,8,1,1,1,1,from unionized district schools. What is the problem?,8,1,1,1,1
-HwX2H8Z4hY_003,mosei_real,0,mosei_-HwX2H8Z4hY_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_003.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_003.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_003.pt,Surprising is that the very idea of charter schools began in part with the union leader. Al Shanker was the...,8,1,1,1,1,Surprising is that the very idea of charter schools began in part with the union leader. Al Shanker was the...,8,1,1,1,1
-HwX2H8Z4hY_004,mosei_real,0,mosei_-HwX2H8Z4hY_004,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_004.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_004.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_004.pt,"was the long time radical head of the American Federation of Teachers. And in 1988,",8,1,1,1,1,"was the long time radical head of the American Federation of Teachers. And in 1988,",8,1,1,1,1
-HwX2H8Z4hY_005,mosei_real,0,mosei_-HwX2H8Z4hY_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_005.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_005.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_005.pt,most important champion of the charter idea. In fact he was the first person to use the,8,1,1,1,1,most important champion of the charter idea. In fact he was the first person to use the,8,1,1,1,1
-HwX2H8Z4hY_006,mosei_real,0,mosei_-HwX2H8Z4hY_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_006.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_006.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_006.pt,Use the words charter schools in a national,8,1,1,1,1,Use the words charter schools in a national,8,1,1,1,1
-HwX2H8Z4hY_007,mosei_real,0,mosei_-HwX2H8Z4hY_007,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_007.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_007.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_007.pt,newspaper. So what changed? To understand that we have to go back to the 19th.,8,1,1,1,1,newspaper. So what changed? To understand that we have to go back to the 19th.,8,1,1,1,1
-HwX2H8Z4hY_009,mosei_real,0,mosei_-HwX2H8Z4hY_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-HwX2H8Z4hY_009.mp4,data\preprocessed\features\z_at\-HwX2H8Z4hY_009.pt,data\preprocessed\features\z_v\-HwX2H8Z4hY_009.pt,"called a nation at risk, argued that America itself was being eroded by a rising tide of mediocrity.",8,1,1,1,1,"called a nation at risk, argued that America itself was being eroded by a rising tide of mediocrity.",8,1,1,1,1
-IUUR2yyNbw_002,mosei_real,0,mosei_-IUUR2yyNbw_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-IUUR2yyNbw_002.mp4,data\preprocessed\features\z_at\-IUUR2yyNbw_002.pt,data\preprocessed\features\z_v\-IUUR2yyNbw_002.pt,"And I think that that is where, you know, the internet, as we go forward, is going to be even more critical in all the campaigns that we run.",8,1,1,1,1,"And I think that that is where, you know, the internet, as we go forward, is going to be even more critical in all the campaigns that we run.",8,1,1,1,1
-IUUR2yyNbw_004,mosei_real,0,mosei_-IUUR2yyNbw_004,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-IUUR2yyNbw_004.mp4,data\preprocessed\features\z_at\-IUUR2yyNbw_004.pt,data\preprocessed\features\z_v\-IUUR2yyNbw_004.pt,And I think that that has changed just in the last four or five years.,8,1,1,1,1,And I think that that has changed just in the last four or five years.,8,1,1,1,1
-LnuDPiuuZw_000,mosei_real,0,mosei_-LnuDPiuuZw_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-LnuDPiuuZw_000.mp4,data\preprocessed\features\z_at\-LnuDPiuuZw_000.pt,data\preprocessed\features\z_v\-LnuDPiuuZw_000.pt,Rick Wyman recently joined here on Consulting Group as a Managing Director in its Here on Legal Practice.,8,1,1,1,1,Rick Wyman recently joined here on Consulting Group as a Managing Director in its Here on Legal Practice.,8,1,1,1,1
-MeTTeMJBNc_001,mosei_real,0,mosei_-MeTTeMJBNc_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-MeTTeMJBNc_001.mp4,data\preprocessed\features\z_at\-MeTTeMJBNc_001.pt,data\preprocessed\features\z_v\-MeTTeMJBNc_001.pt,"Brady is, just needs to be a simple statement and then you present the gift.",8,1,1,1,1,"Brady is, just needs to be a simple statement and then you present the gift.",8,1,1,1,1
-RfYyzHpjk4_001,mosei_real,0,mosei_-RfYyzHpjk4_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-RfYyzHpjk4_001.mp4,data\preprocessed\features\z_at\-RfYyzHpjk4_001.pt,data\preprocessed\features\z_v\-RfYyzHpjk4_001.pt,It can make a confidence call but it takes quite a bit of planning. Well not a lot of planning. It's pretty easy to do. What I-,8,1,1,1,1,It can make a confidence call but it takes quite a bit of planning. Well not a lot of planning. It's pretty easy to do. What I-,8,1,1,1,1
-RfYyzHpjk4_002,mosei_real,0,mosei_-RfYyzHpjk4_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-RfYyzHpjk4_002.mp4,data\preprocessed\features\z_at\-RfYyzHpjk4_002.pt,data\preprocessed\features\z_v\-RfYyzHpjk4_002.pt,"It's pretty, pretty easy to do, but you've got to set up those numbers ahead of time.",8,1,1,1,1,"It's pretty, pretty easy to do, but you've got to set up those numbers ahead of time.",8,1,1,1,1
-SYSVSQnTnA_000,mosei_real,0,mosei_-SYSVSQnTnA_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-SYSVSQnTnA_000.mp4,data\preprocessed\features\z_at\-SYSVSQnTnA_000.pt,data\preprocessed\features\z_v\-SYSVSQnTnA_000.pt,"As a pastor, my support for Question 6 is rooted in my belief that the government should treat everyone equally.",8,1,1,1,1,"As a pastor, my support for Question 6 is rooted in my belief that the government should treat everyone equally.",8,1,1,1,1
-SYSVSQnTnA_001,mosei_real,0,mosei_-SYSVSQnTnA_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-SYSVSQnTnA_001.mp4,data\preprocessed\features\z_at\-SYSVSQnTnA_001.pt,data\preprocessed\features\z_v\-SYSVSQnTnA_001.pt,"I wouldn't want someone denying my rights based upon their religious views, so I shouldn't deny others based upon mine.",8,1,1,1,1,"I wouldn't want someone denying my rights based upon their religious views, so I shouldn't deny others based upon mine.",8,1,1,1,1
-THoVjtIkeU_003,mosei_real,0,mosei_-THoVjtIkeU_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-THoVjtIkeU_003.mp4,data\preprocessed\features\z_at\-THoVjtIkeU_003.pt,data\preprocessed\features\z_v\-THoVjtIkeU_003.pt,I am absolutely optimistic. I think there's no other way to be.,8,1,1,1,1,I am absolutely optimistic. I think there's no other way to be.,8,1,1,1,1
-THoVjtIkeU_005,mosei_real,0,mosei_-THoVjtIkeU_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-THoVjtIkeU_005.mp4,data\preprocessed\features\z_at\-THoVjtIkeU_005.pt,data\preprocessed\features\z_v\-THoVjtIkeU_005.pt,I think social justice is extremely important for young people.,8,1,1,1,1,I think social justice is extremely important for young people.,8,1,1,1,1
-THoVjtIkeU_006,mosei_real,0,mosei_-THoVjtIkeU_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-THoVjtIkeU_006.mp4,data\preprocessed\features\z_at\-THoVjtIkeU_006.pt,data\preprocessed\features\z_v\-THoVjtIkeU_006.pt,"I think that listening to young people, taking in what they have to say, because what we've seen all around the world is the power of youth.",8,1,1,1,1,"I think that listening to young people, taking in what they have to say, because what we've seen all around the world is the power of youth.",8,1,1,1,1
-UuX1xuaiiE_005,mosei_real,0,mosei_-UuX1xuaiiE_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-UuX1xuaiiE_005.mp4,data\preprocessed\features\z_at\-UuX1xuaiiE_005.pt,data\preprocessed\features\z_v\-UuX1xuaiiE_005.pt,Currently I had great support from Kyle.,8,1,1,1,1,Currently I had great support from Kyle.,8,1,1,1,1
-UuX1xuaiiE_006,mosei_real,0,mosei_-UuX1xuaiiE_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-UuX1xuaiiE_006.mp4,data\preprocessed\features\z_at\-UuX1xuaiiE_006.pt,data\preprocessed\features\z_v\-UuX1xuaiiE_006.pt,"colleagues on the faculty. When I arrived at CMC in 1999, John had already been here for about 30 years.",8,1,1,1,1,"colleagues on the faculty. When I arrived at CMC in 1999, John had already been here for about 30 years.",8,1,1,1,1
-UuX1xuaiiE_007,mosei_real,0,mosei_-UuX1xuaiiE_007,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-UuX1xuaiiE_007.mp4,data\preprocessed\features\z_at\-UuX1xuaiiE_007.pt,data\preprocessed\features\z_v\-UuX1xuaiiE_007.pt,and he had already created a legacy of teaching courses about the Holocaust. But clearly he wanted to do...,8,1,1,1,1,and he had already created a legacy of teaching courses about the Holocaust. But clearly he wanted to do...,8,1,1,1,1
-VmheDA92mM_001,mosei_real,0,mosei_-VmheDA92mM_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-VmheDA92mM_001.mp4,data\preprocessed\features\z_at\-VmheDA92mM_001.pt,data\preprocessed\features\z_v\-VmheDA92mM_001.pt,"Bring us together today with Danny Russell, and I'm particularly grateful to you.",8,1,1,1,1,"Bring us together today with Danny Russell, and I'm particularly grateful to you.",8,1,1,1,1
-WXXTNIJcVM_001,mosei_real,0,mosei_-WXXTNIJcVM_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-WXXTNIJcVM_001.mp4,data\preprocessed\features\z_at\-WXXTNIJcVM_001.pt,data\preprocessed\features\z_v\-WXXTNIJcVM_001.pt,Delegars played the defiant often hilarious one-eat-a-sole-,8,1,1,1,1,Delegars played the defiant often hilarious one-eat-a-sole-,8,1,1,1,1
-WXXTNIJcVM_002,mosei_real,0,mosei_-WXXTNIJcVM_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-WXXTNIJcVM_002.mp4,data\preprocessed\features\z_at\-WXXTNIJcVM_002.pt,data\preprocessed\features\z_v\-WXXTNIJcVM_002.pt,Anita Solis on Desperate Housewives for four years. But since then...,8,1,1,1,1,Anita Solis on Desperate Housewives for four years. But since then...,8,1,1,1,1
-bl5PfNIYrk_000,mosei_real,0,mosei_-bl5PfNIYrk_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-bl5PfNIYrk_000.mp4,data\preprocessed\features\z_at\-bl5PfNIYrk_000.pt,data\preprocessed\features\z_v\-bl5PfNIYrk_000.pt,So we're building a cooperative of projects and patrons who want to see creative work funded without relying on anti-features or restricted access.,8,1,1,1,1,So we're building a cooperative of projects and patrons who want to see creative work funded without relying on anti-features or restricted access.,8,1,1,1,1
-bl5PfNIYrk_006,mosei_real,0,mosei_-bl5PfNIYrk_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-bl5PfNIYrk_006.mp4,data\preprocessed\features\z_at\-bl5PfNIYrk_006.pt,data\preprocessed\features\z_v\-bl5PfNIYrk_006.pt,Then you will invite the community to come pledge and encourage your existing supporters to join in.,8,1,1,1,1,Then you will invite the community to come pledge and encourage your existing supporters to join in.,8,1,1,1,1
-cEhr0cQcDM_001,mosei_real,0,mosei_-cEhr0cQcDM_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-cEhr0cQcDM_001.mp4,data\preprocessed\features\z_at\-cEhr0cQcDM_001.pt,data\preprocessed\features\z_v\-cEhr0cQcDM_001.pt,"I'd be forward, they're not necessarily going to remember all that, but they'll see that ad, it gets triggered and they click on it. They have...",8,1,1,1,1,"I'd be forward, they're not necessarily going to remember all that, but they'll see that ad, it gets triggered and they click on it. They have...",8,1,1,1,1
-dZ1TCboxcQ_001,mosei_real,0,mosei_-dZ1TCboxcQ_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-dZ1TCboxcQ_001.mp4,data\preprocessed\features\z_at\-dZ1TCboxcQ_001.pt,data\preprocessed\features\z_v\-dZ1TCboxcQ_001.pt,‫על מנגנון מסותר פעל מנת למנוע ‫אי אבנה בין כוחות.,8,1,1,1,1,‫על מנגנון מסותר פעל מנת למנוע ‫אי אבנה בין כוחות.,8,1,1,1,1
-egA8-b7-3M_002,mosei_real,0,mosei_-egA8-b7-3M_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_002.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_002.pt,data\preprocessed\features\z_v\-egA8-b7-3M_002.pt,What are you doing that's different? They always want an answer.,8,1,1,1,1,What are you doing that's different? They always want an answer.,8,1,1,1,1
-egA8-b7-3M_004,mosei_real,0,mosei_-egA8-b7-3M_004,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_004.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_004.pt,data\preprocessed\features\z_v\-egA8-b7-3M_004.pt,"Third, another big benefit of exhibiting is connecting with existing clients.",8,1,1,1,1,"Third, another big benefit of exhibiting is connecting with existing clients.",8,1,1,1,1
-egA8-b7-3M_005,mosei_real,0,mosei_-egA8-b7-3M_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_005.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_005.pt,data\preprocessed\features\z_v\-egA8-b7-3M_005.pt,"As you have more experience, you have more time exhibiting. You get to know more people.",8,1,1,1,1,"As you have more experience, you have more time exhibiting. You get to know more people.",8,1,1,1,1
-egA8-b7-3M_007,mosei_real,0,mosei_-egA8-b7-3M_007,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_007.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_007.pt,data\preprocessed\features\z_v\-egA8-b7-3M_007.pt,In this video I share tips about exhibiting your services at an attorney conference.,8,1,1,1,1,In this video I share tips about exhibiting your services at an attorney conference.,8,1,1,1,1
-egA8-b7-3M_008,mosei_real,0,mosei_-egA8-b7-3M_008,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_008.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_008.pt,data\preprocessed\features\z_v\-egA8-b7-3M_008.pt,Now you've got a face that you can connect with a voice and that makes you closer to that client.,8,1,1,1,1,Now you've got a face that you can connect with a voice and that makes you closer to that client.,8,1,1,1,1
-egA8-b7-3M_009,mosei_real,0,mosei_-egA8-b7-3M_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_009.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_009.pt,data\preprocessed\features\z_v\-egA8-b7-3M_009.pt,Things could shift and that customer could change the type of cases that he or she is handling.,8,1,1,1,1,Things could shift and that customer could change the type of cases that he or she is handling.,8,1,1,1,1
-egA8-b7-3M_010,mosei_real,0,mosei_-egA8-b7-3M_010,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_010.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_010.pt,data\preprocessed\features\z_v\-egA8-b7-3M_010.pt,"By continually seeking new clients, you build a stronger business.",8,1,1,1,1,"By continually seeking new clients, you build a stronger business.",8,1,1,1,1
-egA8-b7-3M_012,mosei_real,0,mosei_-egA8-b7-3M_012,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-egA8-b7-3M_012.mp4,data\preprocessed\features\z_at\-egA8-b7-3M_012.pt,data\preprocessed\features\z_v\-egA8-b7-3M_012.pt,We're updating it all the time and looking forward to your comments on our videos.,8,1,1,1,1,We're updating it all the time and looking forward to your comments on our videos.,8,1,1,1,1
